date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:40:19	16011/16011	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Oct%202022%2015:40:44%20GMT	https://sjvn.nic.in/robots.txt		(from )
08:40:20	89752/89752	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Oct%202022%2015:40:45%20GMT	https://sjvn.nic.in/	C:/10Intership/tata4/sjvn.nic.in/index.html	(from )
08:40:21	9951/9951	---MCZ	200	added ('OK')	text/css	etag:%221d682a757e869df%22	https://sjvn.nic.in/assets/css/icon-moon.css	C:/10Intership/tata4/sjvn.nic.in/assets/css/icon-moon.css	(from https://sjvn.nic.in/)
08:40:21	159521/159521	---MCZ	200	added ('OK')	text/css	etag:%221d682a757ea2021%22	https://sjvn.nic.in/assets/css/bootstrap.min.css	C:/10Intership/tata4/sjvn.nic.in/assets/css/bootstrap.min.css	(from https://sjvn.nic.in/)
08:40:22	29396/29396	---MCZ	200	added ('OK')	text/css	etag:%221d7ba746ab582d4%22	https://sjvn.nic.in/assets/css/menu.css	C:/10Intership/tata4/sjvn.nic.in/assets/css/menu.css	(from https://sjvn.nic.in/)
08:40:22	1883/1883	---MCZ	200	added ('OK')	text/css	etag:%221d682a757e8485b%22	https://sjvn.nic.in/assets/css/slick.css	C:/10Intership/tata4/sjvn.nic.in/assets/css/slick.css	(from https://sjvn.nic.in/)
08:40:23	122961/122961	---MCZ	200	added ('OK')	text/css	etag:%221d7d6c7cef8aed1%22	https://sjvn.nic.in/assets/css/style.css	C:/10Intership/tata4/sjvn.nic.in/assets/css/style.css	(from https://sjvn.nic.in/)
08:40:23	12887/12887	---M-Z	200	added ('OK')	text/css	etag:%221d682a757e87d57%22	https://sjvn.nic.in/assets/css/theme-green.css	C:/10Intership/tata4/sjvn.nic.in/assets/css/theme-green.css	(from https://sjvn.nic.in/)
08:40:24	12675/12675	---M-Z	200	added ('OK')	text/css	etag:%221d682a757e87e83%22	https://sjvn.nic.in/assets/css/theme-purple.css	C:/10Intership/tata4/sjvn.nic.in/assets/css/theme-purple.css	(from https://sjvn.nic.in/)
08:40:24	13840/13840	---MCZ	200	added ('OK')	text/css	etag:%221d682a757e87910%22	https://sjvn.nic.in/assets/css/theme-darkgreen.css	C:/10Intership/tata4/sjvn.nic.in/assets/css/theme-darkgreen.css	(from https://sjvn.nic.in/)
08:40:25	13031/13031	---MCZ	200	added ('OK')	text/css	etag:%221d682a757e87de7%22	https://sjvn.nic.in/assets/css/theme-navyblue.css	C:/10Intership/tata4/sjvn.nic.in/assets/css/theme-navyblue.css	(from https://sjvn.nic.in/)
08:40:26	1007/1007	---MCZ	200	added ('OK')	text/css	etag:%221d682a757e84cef%22	https://sjvn.nic.in/assets/css/responsive.css	C:/10Intership/tata4/sjvn.nic.in/assets/css/responsive.css	(from https://sjvn.nic.in/)
08:40:26	1399/1399	---M-Z	200	added ('OK')	text/css	etag:%221d682a757e84a77%22	https://sjvn.nic.in/assets/css/nanoscroller.css	C:/10Intership/tata4/sjvn.nic.in/assets/css/nanoscroller.css	(from https://sjvn.nic.in/)
08:40:27	1406/1406	---M--	200	added ('OK')	image/x-icon	etag:%221d682a757e84a7e%22	https://sjvn.nic.in/assets/images/favicon.ico?v=1	C:/10Intership/tata4/sjvn.nic.in/assets/images/favicon3860.ico	(from https://sjvn.nic.in/)
08:40:29	16825/16825	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Oct%202022%2015:40:53%20GMT	https://sjvn.nic.in/screenreader/%20getscreenreaderdata	C:/10Intership/tata4/sjvn.nic.in/screenreader/%20getscreenreaderdata.c.delayed	(from https://sjvn.nic.in/)
08:40:29	6695/6695	---M--	200	added ('OK')	image/png	etag:%221d682a757e85527%22	https://sjvn.nic.in/assets/images/logo.png	C:/10Intership/tata4/sjvn.nic.in/assets/images/logo.png	(from https://sjvn.nic.in/)
08:40:34	58731/58731	---M--	200	added ('OK')	image/jpeg	etag:%221d82976e0b00f6b%22	https://sjvnindia.com/UploadFiles/HomeBanner/1_1_1_85018094.jpg	C:/10Intership/tata4/sjvnindia.com/UploadFiles/HomeBanner/1_1_1_85018094.jpg	(from https://sjvn.nic.in/)
08:40:35	87908/87908	---M--	200	added ('OK')	image/jpeg	etag:%221d7b8e83b732f64%22	https://sjvnindia.com/UploadFiles/HomeBanner/1_1_cvc%20logonew_1977091852.jpg	C:/10Intership/tata4/sjvnindia.com/UploadFiles/HomeBanner/1_1_cvc%20logonew_1977091852.jpg	(from https://sjvn.nic.in/)
08:40:36	201935/201935	---M--	200	added ('OK')	image/jpeg	etag:%221d798ae7082ac4f%22	https://sjvnindia.com/UploadFiles/HomeBanner/1_1_1_1_xyakAi0_822447289_1568255934.jpg	C:/10Intership/tata4/sjvnindia.com/UploadFiles/HomeBanner/1_1_1_1_xyakAi0_822447289_1568255934.jpg	(from https://sjvn.nic.in/)
